                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.1732,                 7.3205,                0.72581,                0.96242,                 1.5196,                0.82686,                      1,                0.92833,                0.62851,                      0,                      0,                      0,                      0,                 1.1991,                 6.0865,                0.60681,                 1.8004,                 1.7255,             0.00050381,             0.00050381,             0.00050381
                     50,                 1.2738,                 8.2977,                0.68508,                0.87911,                 1.3001,                0.82686,                      1,                0.92833,                0.62851,                      0,                      0,                      0,                      0,                 1.1991,                 6.0865,                0.60681,                 1.8004,                 1.7255,              0.0005046,              0.0005046,              0.0005046
                     51,                 1.5718,                 8.6579,                 0.7415,                 1.0737,                 1.4958,                0.99123,                      1,                  0.995,                0.81772,                      0,                      0,                      0,                      0,                0.73399,                 5.7933,                0.58465,                0.70631,                 1.1578,               0.000505,               0.000505,               0.000505
                     52,                 1.0941,                 7.6514,                  0.624,                0.73821,                 1.0713,                0.99123,                      1,                  0.995,                0.81772,                      0,                      0,                      0,                      0,                0.73399,                 5.7933,                0.58465,                0.70631,                 1.1578,               0.000505,               0.000505,               0.000505
                     53,                0.97465,                  7.508,                0.68783,                0.87795,                 1.1869,                0.99123,                      1,                  0.995,                0.81772,                      0,                      0,                      0,                      0,                0.73399,                 5.7933,                0.58465,                0.70631,                 1.1578,             0.00050461,             0.00050461,             0.00050461
                     54,                 1.0307,                 7.8633,                0.62722,                0.81878,                 1.1417,                0.82789,                      1,                  0.995,                0.81043,                0.16558,                    0.2,                0.07123,                0.00712,                0.75136,                 5.7184,                0.55957,                  1.068,                 1.1163,             0.00050382,             0.00050382,             0.00050382
                     55,                0.67938,                 8.0729,                0.60495,                0.69327,                 1.0144,                0.82789,                      1,                  0.995,                0.81043,                0.16558,                    0.2,                0.07123,                0.00712,                0.75136,                 5.7184,                0.55957,                  1.068,                 1.1163,             0.00050263,             0.00050263,             0.00050263
                     56,                0.86735,                 7.7749,                0.65235,                0.76105,                 1.0789,                0.82789,                      1,                  0.995,                0.81043,                0.16558,                    0.2,                0.07123,                0.00712,                0.75136,                 5.7184,                0.55957,                  1.068,                 1.1163,             0.00050105,             0.00050105,             0.00050105
                     57,                0.89857,                 8.0146,                0.68401,                 0.7252,                 1.3157,                0.85122,                      1,                  0.995,                0.75084,                0.33333,                    0.2,                0.10305,                 0.0103,                0.88834,                 5.5744,                0.53554,                 2.2474,                 1.4647,             0.00049907,             0.00049907,             0.00049907
                     58,                0.88334,                 7.4128,                0.69254,                 1.1785,                 1.2008,                0.85122,                      1,                  0.995,                0.75084,                0.33333,                    0.2,                0.10305,                 0.0103,                0.88834,                 5.5744,                0.53554,                 2.2474,                 1.4647,              0.0004967,              0.0004967,              0.0004967
